Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Earley and Woodley;Unknown (CON gain from LAB);12;Berkshire;73548;15328;12296;5315;9168;5994;0;2481;0;0.613;0.277;0.01;0.086;0.013;0;0;0
Easington;Unknown (Reform gain from LAB);3;County Durham;69411;2150;16188;479;17655;1004;0;3058;0;0.01;0.396;0;0.593;0;0;0;0
East Grinstead and Uckfield;Mims Davies;12;Sussex East;75385;15148;11145;7914;9927;6355;0;1924;0;0.656;0.133;0.065;0.113;0.032;0;0;0.001
East Ham;Stephen Timms;11;Lea Valley;79086;3230;12259;1658;4291;11895;0;4166;0;0.006;0.475;0;0.009;0.509;0;0.001;0
Eastbourne;Josh Babarinde;12;Sussex East;72592;10465;3930;19664;10676;2619;0;2404;0;0.055;0.001;0.885;0.058;0;0;0;0
Eastleigh;Liz Jarvis;12;Southampton;69965;13560;5416;14946;9674;3273;0;2805;0;0.307;0.011;0.55;0.13;0.001;0;0;0
Edmonton and Winchmore Hill;Kate Osamor;11;Enfield and Haringey;75792;6412;14010;3209;8065;9078;0;2493;0;0.047;0.689;0.002;0.088;0.172;0;0;0
Ellesmere Port and Bromborough;Justin Madders;4;Wirral and Chester North;70799;1691;24025;466;13517;1439;0;3908;0;0.002;0.934;0;0.062;0.001;0;0;0
Eltham and Chislehurst;Clive Efford;11;Bexley and Bromley;74224;9461;14443;3530;11677;5649;0;3517;0;0.095;0.637;0.002;0.25;0.016;0;0;0
Ely and East Cambridgeshire;Charlotte Cane;9;Cambridgeshire South;79112;18846;3471;22177;7693;2196;0;2467;0;0.355;0.02;0.538;0.086;0.001;0;0;0
Enfield North;Feryal Clark;11;Enfield and Haringey;78770;6624;15079;3350;10255;6685;0;3296;0;0.049;0.733;0.003;0.15;0.064;0;0;0
Epping Forest;Neil Hudson;9;Essex South West;72229;15414;9693;4807;10136;4670;0;2196;0;0.785;0.098;0.008;0.103;0.005;0;0;0
Epsom and Ewell;Helen Maguire;12;Surrey East;77530;19631;1695;25879;5462;1500;0;2554;0;0.321;0.024;0.596;0.056;0.003;0;0;0
Erewash;Unknown (Reform gain from LAB);8;Derbyshire South;71497;3122;18080;540;18081;1132;0;4539;0;0.056;0.505;0;0.437;0.001;0;0;0
Erith and Thamesmead;Abena Oppong-Asare;11;Bexley and Bromley;78886;4693;14903;2460;8291;10206;0;3929;0;0.009;0.743;0.001;0.069;0.177;0;0;0
Esher and Walton;Monica Harding;12;Runnymede;74042;17032;875;29593;4355;1273;0;1973;0;0.066;0;0.927;0.006;0;0;0;0
Essex North West;Kemi Badenoch;9;Essex North;79824;17250;12101;5853;14164;5181;0;2833;0;0.642;0.131;0.008;0.217;0.002;0;0;0
