Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Birmingham Yardley;Unknown (Reform gain from LAB);7;Birmingham;73203;2779;5868;4080;11533;2748;0;7598;360;0.013;0.058;0.022;0.806;0.005;0.000;0.095;0.000
Bishop Auckland;Unknown (Reform gain from LAB);3;Durham;70745;5853;10062;2688;17662;2412;0;0;1159;0.006;0.093;0.000;0.900;0.000;0.000;0.000;0.000
Blackburn;Unknown (Reform gain from MIN);4;Lancashire;73259;2130;4712;2504;13148;2454;0;7044;5424;0.001;0.025;0.003;0.901;0.004;0.000;0.037;0.028
Blackley and Middleton South;Unknown (Reform gain from LAB);4;Central Manchester;72097;1882;8170;2971;13885;3705;0;0;859;0.000;0.106;0.000;0.891;0.002;0.000;0.000;0.000
Blackpool North and Fleetwood;Unknown (Reform gain from LAB);4;Lancashire;73339;8544;9113;2873;16965;2474;0;0;1523;0.049;0.086;0.001;0.863;0.000;0.000;0.000;0.000
Blackpool South;Unknown (Reform gain from LAB);4;Lancashire;77459;3225;9762;2267;17314;2204;0;0;1182;0.000;0.081;0.001;0.918;0.000;0.000;0.000;0.000
Blaydon and Consett;Unknown (Reform gain from LAB);3;Durham;70487;4573;12791;3246;16744;2938;0;0;1217;0.002;0.266;0.000;0.731;0.000;0.000;0.000;0.000
Blyth and Ashington;Unknown (Reform gain from LAB);3;Northumberland;76263;4403;11282;2607;18477;2605;0;0;1146;0.001;0.125;0.000;0.873;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Unknown (Reform gain from CON);12;West Sussex;77565;11042;7721;5686;18516;3075;0;0;1810;0.126;0.029;0.005;0.838;0.000;0.000;0.000;0.000
Bolsover;Unknown (Reform gain from LAB);8;Derbyshire;77207;6121;10232;2780;18465;3605;0;0;971;0.007;0.078;0.000;0.915;0.000;0.000;0.000;0.000
Bolton North East;Unknown (Reform gain from LAB);4;Western Manchester;80011;5645;9422;3213;17117;4422;0;1346;1007;0.011;0.082;0.001;0.904;0.001;0.000;0.000;0.000
Bolton South and Walkden;Unknown (Reform gain from LAB);4;Western Manchester;79622;3110;7937;2607;15395;3058;0;3686;731;0.002;0.070;0.002;0.925;0.000;0.000;0.000;0.000
Bolton West;Unknown (Reform gain from LAB);4;Western Manchester;74933;9277;9935;3908;14536;4511;0;0;1377;0.125;0.162;0.004;0.703;0.005;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;73037;1594;14341;3079;13596;4592;0;1083;361;0.000;0.534;0.000;0.464;0.001;0.000;0.000;0.000
Boston and Skegness;Richard Tice;8;Lincolnshire;75811;8429;3319;2485;23693;1812;0;0;1834;0.005;0.001;0.000;0.994;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (Reform gain from LAB);10;Dorset;72354;8291;12339;4265;13366;3720;0;0;2027;0.086;0.376;0.006;0.529;0.001;0.000;0.000;0.000
Bournemouth West;Unknown (Reform gain from LAB);10;Dorset;70259;8613;8432;4728;12341;4018;0;0;1331;0.174;0.157;0.022;0.640;0.006;0.000;0.000;0.000
Bracknell;Unknown (Reform gain from LAB);12;Berkshire;71656;11191;8666;5748;12861;3415;0;0;1594;0.325;0.123;0.026;0.524;0.001;0.000;0.000;0.000
Bradford East;Unknown (Reform gain from LAB);5;West Yorkshire;75167;1982;6674;3280;13018;3556;0;5516;1971;0.004;0.086;0.009;0.881;0.006;0.000;0.012;0.000
Bradford South;Unknown (Reform gain from LAB);5;West Yorkshire;71002;3270;6136;2045;14242;3118;0;428;3758;0.004;0.037;0.001;0.954;0.002;0.000;0.000;0.001
Bradford West;Unknown (Reform gain from LAB);5;West Yorkshire;77897;1738;5181;2754;10849;4476;0;7328;2917;0.010;0.065;0.013;0.777;0.032;0.000;0.094;0.007
Braintree;Unknown (Reform gain from CON);9;Essex;77781;12349;7683;4495;18901;3542;0;0;1835;0.153;0.027;0.002;0.817;0.000;0.000;0.000;0.000
Brent East;Dawn Butler;11;London West;77257;3861;11238;5096;8565;5003;0;784;2386;0.015;0.659;0.031;0.268;0.025;0.000;0.000;0.001
Brent West;Barry Gardiner;11;London West;79937;8868;10173;4613;9703;3710;0;2201;425;0.234;0.390;0.021;0.347;0.008;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;London South West;79283;7610;12594;5272;10801;4747;0;2296;880;0.083;0.569;0.024;0.311;0.011;0.000;0.000;0.000
Brentwood and Ongar;Unknown (Reform gain from CON);9;Essex;75352;13582;6844;6667;17285;2540;0;0;1322;0.266;0.016;0.010;0.708;0.000;0.000;0.000;0.000
Bridgwater;Unknown (Reform gain from CON);10;Somerset;71571;9230;5869;5755;15770;2748;0;373;1182;0.111;0.014;0.013;0.861;0.000;0.000;0.000;0.000
Bridlington and the Wolds;Unknown (Reform gain from CON);5;Humber area;72931;9871;6150;4136;18496;2233;0;0;2194;0.067;0.008;0.000;0.924;0.000;0.000;0.000;0.000
Brigg and Immingham;Unknown (Reform gain from CON);5;Humber area;74297;10431;6705;3198;18738;2439;0;0;1163;0.072;0.015;0.001;0.912;0.000;0.000;0.000;0.000
