Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;10231;16256;4526;6334;3238;0;0;570;0.144;0.833;0.005;0.017;0.000;0.000;0.000;0.000
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;15724;17492;4588;7106;3271;0;0;452;0.400;0.588;0.001;0.010;0.000;0.000;0.000;0.000
Bradford East;Imran Hussain;5;West Yorkshire;73206;2514;19667;1072;4491;1362;0;0;434;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Bradford South;Judith Cummins;5;West Yorkshire;69046;4431;16276;659;5047;1910;0;0;594;0.002;0.997;0.000;0.001;0.000;0.000;0.000;0.000
Bradford West;Naz Shah;5;West Yorkshire;70694;1669;22501;294;2790;1000;0;0;265;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Braintree;James Cleverly;9;Essex;75208;15637;14526;3475;7241;2071;0;0;567;0.562;0.422;0.000;0.015;0.000;0.000;0.000;0.000
Brent Central;Dawn Butler;11;Brent;84032;3017;27431;1276;4590;2698;0;0;334;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brent North;Barry Gardiner;11;Brent;83788;7067;25703;1278;5092;1675;0;0;428;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;8159;29695;2118;6756;3330;0;0;462;0.004;0.995;0.000;0.001;0.000;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75255;19417;12661;6507;7536;2690;0;0;354;0.808;0.170;0.008;0.013;0.000;0.000;0.000;0.000
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;16071;15330;7813;8052;2605;0;0;313;0.521;0.431;0.021;0.027;0.000;0.000;0.000;0.000
Brigg and Goole;Unknown (LAB gain from CON);5;Humber area;65939;12739;13218;1667;6582;1785;0;0;321;0.460;0.522;0.000;0.017;0.000;0.000;0.000;0.000
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;69833;7012;25757;1656;5544;3787;0;0;419;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Brighton Pavilion;Caroline Lucas;12;East Sussex;79057;4023;20378;2816;6353;23099;0;0;604;0.002;0.382;0.000;0.001;0.614;0.000;0.000;0.000
Bristol East;Kerry McCarthy;10;Bristol area;73867;5420;24792;2175;6257;3861;0;0;582;0.001;0.996;0.000;0.002;0.000;0.000;0.000;0.000
Bristol North West;Darren Jones;10;Bristol area;76273;9243;25285;3159;6469;3770;0;0;444;0.015;0.981;0.000;0.003;0.001;0.000;0.000;0.000
Bristol South;Karin Smyth;10;Bristol area;84079;5864;25392;3353;7635;5508;0;0;695;0.004;0.990;0.001;0.005;0.000;0.000;0.000;0.000
Bristol West;Thangam Debbonaire;10;Bristol area;99253;2452;31035;3272;6855;22572;0;0;955;0.000;0.799;0.000;0.001;0.199;0.000;0.000;0.000
Broadland;Jerome Mayhew;9;Norfolk;78151;14751;14603;9224;7954;2957;0;0;263;0.469;0.427;0.064;0.038;0.001;0.000;0.000;0.000
Bromley and Chislehurst;Unknown (LAB gain from CON);11;Bromley;66697;11918;16287;3545;6305;2660;0;0;448;0.228;0.762;0.000;0.009;0.000;0.000;0.000;0.000
Bromsgrove;Sajid Javid;7;Hereford and Worcestershire;75078;16927;16233;4415;7741;2847;0;0;466;0.525;0.454;0.001;0.019;0.000;0.000;0.000;0.000
Broxbourne;Charles Walker;9;Hertfordshire;73182;15387;14287;2691;6198;2296;0;0;451;0.557;0.433;0.001;0.009;0.000;0.000;0.000;0.000
Broxtowe;Unknown (LAB gain from CON);8;Nottinghamshire;73052;10992;23990;1327;7139;3013;0;0;929;0.036;0.959;0.000;0.005;0.000;0.000;0.000;0.000
Buckingham;Greg Smith;12;Buckinghamshire;83146;20698;15579;10340;8395;2662;0;0;248;0.695;0.258;0.035;0.011;0.000;0.000;0.000;0.000
Burnley;Unknown (LAB gain from CON);4;Lancashire;64345;5510;13385;1692;6274;1784;0;0;595;0.025;0.937;0.000;0.037;0.001;0.000;0.000;0.000
Burton;Unknown (LAB gain from CON);7;Staffordshire;75036;13105;17393;1537;5651;2124;0;0;339;0.235;0.759;0.000;0.006;0.000;0.000;0.000;0.000
Bury North;Unknown (LAB gain from CON);4;Western Manchester;68802;8526;21176;1067;5568;1918;0;0;517;0.014;0.983;0.000;0.002;0.000;0.000;0.000;0.000
Bury South;Unknown (LAB gain from CON);4;Western Manchester;75152;7732;23197;1283;6825;2450;0;0;870;0.007;0.987;0.000;0.006;0.000;0.000;0.000;0.000
Bury St Edmunds;Jo Churchill;9;Suffolk;89644;16285;15472;3260;8875;7985;0;0;641;0.522;0.415;0.000;0.042;0.021;0.000;0.000;0.000
