Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Newark;Unknown (Reform gain from CON);8;Nottinghamshire;80028;14491;10688;5810;17069;3253;0;199;940;0.315;0.093;0.003;0.588;0.000;0.000;0.000;0.000
Newbury;Lee Raymond James Dillon;12;Berkshire;71986;13822;3418;15384;11485;3478;0;0;504;0.343;0.001;0.497;0.158;0.000;0.000;0.000;0.000
Newcastle upon Tyne Central and West;Unknown (Reform gain from LAB);3;Newcastle area;76969;2533;10039;4340;17137;4430;0;0;2588;0.001;0.144;0.002;0.845;0.006;0.000;0.000;0.000
Newcastle upon Tyne East and Wallsend;Unknown (Reform gain from LAB);3;Newcastle area;76421;2281;11578;4373;16768;5935;0;651;462;0.000;0.176;0.002;0.818;0.004;0.000;0.000;0.000
Newcastle upon Tyne North;Catherine McKinnell;3;Newcastle area;75146;5537;16660;6918;11763;5276;0;0;635;0.010;0.738;0.016;0.229;0.006;0.000;0.000;0.000
Newcastle-under-Lyme;Unknown (Reform gain from LAB);7;Staffordshire;67839;8110;9150;3605;14961;3318;0;0;391;0.079;0.114;0.001;0.805;0.000;0.000;0.000;0.000
Newton Abbot;Unknown (Reform gain from LIB);10;Devon;73885;10278;5113;12307;15384;3094;0;0;1334;0.126;0.009;0.275;0.590;0.000;0.000;0.000;0.000
Newton Aycliffe and Spennymoor;Unknown (Reform gain from LAB);3;Durham;72224;4656;11488;3114;16831;2531;0;430;250;0.000;0.172;0.000;0.827;0.000;0.000;0.000;0.000
Norfolk Mid;Unknown (Reform gain from CON);9;Norfolk;75238;11426;8256;4855;17515;3543;0;0;403;0.156;0.037;0.003;0.801;0.002;0.000;0.000;0.000
Norfolk North;Steffan Aquarone;9;Norfolk;71438;12773;2846;14313;14016;2207;0;0;409;0.228;0.000;0.397;0.374;0.000;0.000;0.000;0.000
Norfolk North West;Unknown (Reform gain from CON);9;Norfolk;74415;10866;6403;6643;17413;2953;0;0;412;0.138;0.013;0.014;0.834;0.001;0.000;0.000;0.000
Norfolk South;Unknown (Reform gain from LAB);9;Norfolk;74135;11470;11518;6919;13172;5106;0;0;560;0.258;0.254;0.035;0.447;0.005;0.000;0.000;0.000
Norfolk South West;Unknown (Reform gain from LAB);9;Norfolk;74724;7731;6781;4057;17554;2752;0;5515;276;0.050;0.024;0.007;0.914;0.002;0.000;0.001;0.000
Normanton and Hemsworth;Unknown (Reform gain from LAB);5;West Yorkshire;75645;3748;10425;2669;17818;2404;0;0;336;0.000;0.093;0.000;0.907;0.000;0.000;0.000;0.000
Northampton North;Unknown (Reform gain from LAB);8;Northamptonshire;75575;5615;11816;4067;14214;3331;0;1245;470;0.015;0.311;0.002;0.671;0.000;0.000;0.000;0.000
Northampton South;Unknown (Reform gain from LAB);8;Northamptonshire;70393;9390;10430;4870;13409;3498;0;0;570;0.152;0.235;0.008;0.603;0.001;0.000;0.000;0.000
Northamptonshire South;Unknown (Reform gain from CON);8;Northamptonshire;78233;13894;10109;7248;16178;3584;0;268;1050;0.328;0.107;0.015;0.548;0.001;0.000;0.000;0.000
Northumberland North;Unknown (Reform gain from LAB);3;Northumberland;74132;9776;11461;6768;14824;2938;0;0;1913;0.141;0.270;0.027;0.560;0.002;0.000;0.000;0.000
Norwich North;Unknown (Reform gain from LAB);9;Norfolk;73721;6191;13876;3950;15323;5023;0;0;415;0.015;0.405;0.003;0.575;0.002;0.000;0.000;0.000
Norwich South;Clive Lewis;9;Norfolk;76381;4766;14274;5057;11177;8377;0;0;720;0.014;0.654;0.013;0.256;0.063;0.000;0.000;0.000
Nottingham East;Nadia Whittome;8;Nottinghamshire;69395;2353;10866;3894;9731;5817;0;2202;423;0.002;0.575;0.012;0.374;0.036;0.000;0.000;0.000
Nottingham North and Kimberley;Unknown (Reform gain from LAB);8;Nottinghamshire;73768;4559;9442;2928;13768;3525;0;0;313;0.005;0.189;0.001;0.803;0.001;0.000;0.000;0.000
Nottingham South;Unknown (Reform gain from LAB);8;Nottinghamshire;64255;3916;9631;3360;10182;3441;0;1480;325;0.014;0.444;0.006;0.532;0.004;0.000;0.000;0.000
Nuneaton;Unknown (Reform gain from LAB);7;Warwickshire;71662;7961;8305;3387;16240;3830;0;1465;0;0.047;0.063;0.002;0.886;0.001;0.000;0.000;0.000
Old Bexley and Sidcup;Unknown (Reform gain from CON);11;Bexley;72290;12805;8967;4534;16631;3392;0;0;521;0.253;0.052;0.002;0.691;0.002;0.000;0.000;0.000
Oldham East and Saddleworth;Unknown (Reform gain from LAB);4;Eastern Manchester;72760;4948;8599;4368;14721;2125;0;3700;806;0.016;0.129;0.007;0.844;0.002;0.000;0.000;0.001
Oldham West, Chadderton and Royton;Unknown (Reform gain from LAB);4;Eastern Manchester;73178;3032;7556;3139;13973;2334;0;6019;1195;0.006;0.114;0.007;0.857;0.001;0.000;0.013;0.000
Orpington;Unknown (Reform gain from CON);11;Bromley;71203;12929;7916;6577;14525;3152;0;0;432;0.375;0.052;0.022;0.549;0.001;0.000;0.000;0.000
Ossett and Denby Dale;Unknown (Reform gain from LAB);5;West Yorkshire;72312;9444;10691;4039;15052;3168;0;0;772;0.124;0.187;0.003;0.685;0.000;0.000;0.000;0.000
Oxford East;Anneliese Dodds;12;Oxfordshire;71845;3381;12843;5856;7231;6515;0;1891;1807;0.025;0.734;0.061;0.117;0.061;0.000;0.000;0.001
Oxford West and Abingdon;Layla Moran;12;Oxfordshire;71318;7690;6153;18073;9413;3862;0;0;624;0.029;0.015;0.877;0.077;0.002;0.000;0.000;0.000
Peckham;Miatta Fahnbulleh;11;Southwark;72123;1887;13366;5750;6631;8629;0;0;851;0.000;0.782;0.025;0.042;0.150;0.000;0.000;0.000
Pendle and Clitheroe;Unknown (Reform gain from LAB);4;Lancashire;78796;10487;9368;4526;16389;2832;0;309;1701;0.145;0.111;0.004;0.738;0.001;0.000;0.000;0.000
Penistone and Stocksbridge;Unknown (Reform gain from LAB);5;South Yorkshire;70770;6415;13094;4294;16476;2654;0;0;260;0.008;0.289;0.001;0.701;0.000;0.000;0.000;0.000
Penrith and Solway;Unknown (Reform gain from LAB);4;Cumbria;77935;10795;12654;6115;15039;2988;0;0;598;0.144;0.290;0.007;0.557;0.001;0.000;0.000;0.000
Peterborough;Unknown (Reform gain from LAB);9;Cambridgeshire;73378;7240;8115;3322;14430;3388;0;3823;180;0.066;0.095;0.009;0.825;0.004;0.000;0.000;0.000
Plymouth Moor View;Unknown (Reform gain from LAB);10;Devon;74724;7821;9564;3891;17857;3208;0;0;448;0.031;0.085;0.003;0.879;0.001;0.000;0.000;0.000
Plymouth Sutton and Devonport;Unknown (Reform gain from LAB);10;Devon;75313;5130;13008;3782;14394;4402;0;405;726;0.009;0.405;0.002;0.582;0.001;0.000;0.000;0.000
Pontefract, Castleford and Knottingley;Unknown (Reform gain from LAB);5;West Yorkshire;74618;3878;10290;2558;17648;2133;0;0;377;0.000;0.087;0.000;0.913;0.000;0.000;0.000;0.000
Poole;Unknown (Reform gain from LAB);10;Dorset;72509;11084;9336;6331;13416;3405;0;0;774;0.280;0.132;0.032;0.554;0.001;0.000;0.000;0.000
Poplar and Limehouse;Apsana Begum;11;Tower Hamlets;84469;3246;11576;6519;9211;7762;0;3290;651;0.011;0.528;0.071;0.265;0.124;0.000;0.000;0.000
Portsmouth North;Unknown (Reform gain from LAB);12;Hampshire;70446;9284;8422;4568;15611;3125;0;0;373;0.112;0.060;0.006;0.821;0.000;0.000;0.000;0.000
Portsmouth South;Stephen Morgan;12;Hampshire;73711;4531;12386;5280;11726;4272;0;0;643;0.010;0.541;0.019;0.425;0.004;0.000;0.000;0.000
Preston;Unknown (Reform gain from LAB);4;Lancashire;77400;3792;8142;4103;13148;2628;0;6861;584;0.010;0.162;0.012;0.792;0.003;0.000;0.020;0.000
Putney;Fleur Anderson;11;Wandsworth;72614;9469;18235;7508;7073;4839;0;597;220;0.074;0.868;0.025;0.028;0.005;0.000;0.000;0.000
Queen's Park and Maida Vale;Georgia Gould;11;City of Westminster;75558;3489;13328;6130;7070;6274;0;1428;261;0.009;0.816;0.033;0.093;0.048;0.000;0.000;0.000
Rawmarsh and Conisbrough;Unknown (Reform gain from LAB);5;South Yorkshire;69132;3296;9808;2302;16333;2115;0;781;0;0.000;0.089;0.000;0.911;0.000;0.000;0.000;0.000
Rayleigh and Wickford;Unknown (Reform gain from CON);9;Essex;76576;12794;7598;5515;18959;2885;0;0;377;0.177;0.014;0.004;0.804;0.000;0.000;0.000;0.000
Reading Central;Matt Rodda;12;Berkshire;73600;6951;14695;5584;9306;6987;0;0;481;0.042;0.755;0.024;0.139;0.040;0.000;0.000;0.000
Reading West and Mid Berkshire;Unknown (CON gain from LAB);12;Berkshire;68786;11811;10822;6607;11363;4278;0;0;668;0.383;0.242;0.045;0.324;0.005;0.000;0.000;0.000
Redcar;Unknown (Reform gain from LAB);3;Teesside;70241;6671;9650;3026;16210;2076;0;0;325;0.019;0.114;0.001;0.866;0.000;0.000;0.000;0.000
Redditch;Unknown (Reform gain from LAB);7;Hereford and Worcestershire;71038;9709;8428;4021;15673;3181;0;1291;0;0.115;0.065;0.003;0.816;0.000;0.000;0.000;0.000
Reigate;Rebecca Paul;12;Surrey;77101;15279;11040;8085;12093;5387;0;0;338;0.538;0.155;0.055;0.244;0.008;0.000;0.000;0.000
Ribble Valley;Unknown (Reform gain from LAB);4;Lancashire;80484;12381;11234;7262;16609;2855;0;0;943;0.199;0.153;0.017;0.630;0.000;0.000;0.000;0.000
Richmond and Northallerton;Unknown (Reform gain from CON);5;North Yorkshire;73888;15632;6798;6079;15775;2647;0;129;758;0.488;0.018;0.008;0.485;0.000;0.000;0.000;0.000
Richmond Park;Sarah Olney;11;Richmond upon Thames;68103;10099;6179;23062;7349;3774;0;0;487;0.024;0.003;0.963;0.009;0.000;0.000;0.000;0.000
Rochdale;Unknown (Reform gain from LAB);4;Eastern Manchester;71264;3192;7662;3709;12825;2028;0;8477;0;0.007;0.119;0.006;0.787;0.001;0.000;0.079;0.000
Rochester and Strood;Unknown (Reform gain from LAB);12;Kent;74257;8665;8850;4000;16653;3485;0;569;241;0.070;0.066;0.005;0.857;0.001;0.000;0.000;0.000
Romford;Unknown (Reform gain from CON);11;Havering;72978;10736;8231;4155;16063;3122;0;1135;134;0.153;0.053;0.002;0.792;0.000;0.000;0.000;0.000
Romsey and Southampton North;Caroline Nokes;12;Hampshire;71871;15762;3861;14376;11750;2952;0;0;453;0.484;0.000;0.365;0.149;0.000;0.000;0.000;0.000
Rossendale and Darwen;Unknown (Reform gain from LAB);4;Lancashire;74440;9025;10732;3395;15756;3488;0;1103;0;0.069;0.164;0.002;0.764;0.001;0.000;0.000;0.000
