Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Clapham and Brixton Hill;Bell Ribeiro-Addy;11;Lambeth and Wandsworth;79342;8870;28899;11077;491;2354;0;0;71
Colchester;Will Quince;9;Essex North;75677;25008;15490;6996;0;1413;0;0;2
Colne Valley;Jason McCartney;5;Huddersfield and Halifax;71047;25793;19165;3651;1128;952;0;0;706
Congleton;Fiona Bruce;4;Cheshire;69884;29645;12060;5690;0;1466;0;0;561
Corby and East Northamptonshire;Tom Pursglove;8;Northamptonshire;76933;29482;20902;3619;0;0;0;0;0
Cornwall North;Scott Mann;10;Cornwall;74608;32474;5389;16255;0;64;0;0;758
Cornwall South East;Sheryll Murray;10;Cornwall;71359;31581;10764;8615;0;1487;0;0;857
Cotswolds North;Unknown (new seat);10;Gloucestershire;70809;31534;8097;10046;245;2923;0;0;92
Cotswolds South;Geoffrey Clifton-Brown;10;Swindon and Chippenham;72683;31596;6094;14303;0;2295;0;0;0
Coventry East;Colleen Fletcher;7;Coventry and Meriden;74310;15534;23197;2041;2115;1078;0;0;105
Coventry North West;Taiwo Owatemi;7;Coventry and Meriden;75247;20710;20919;2718;1956;1443;0;0;0
Coventry South;Zarah Sultana;7;Coventry and Meriden;72674;19326;19759;3419;1428;1157;0;0;329
Cramlington and Killingworth;Unknown (changed seat);3;Northumberland;73124;19530;20605;2797;3466;1153;0;0;0
Crawley;Henry Smith;12;Sussex West;74206;27040;18680;2730;0;1451;0;0;0
Crewe and Nantwich;Kieran Mullan;4;Cheshire;76322;26530;19805;2596;1334;950;0;0;145
Croydon East;Sarah Jones;11;Croydon;75259;20885;23941;3390;919;1136;0;0;27
Croydon South;Chris Philp;11;Croydon;71305;27181;14607;6535;23;1466;0;0;370
Croydon West;Steve Reed;11;Croydon;70732;10530;29806;3205;548;1288;0;0;176
Dagenham and Rainham;Jon Cruddas;11;Dagenham and Redbridge;73233;19537;19967;1346;2957;700;0;0;401
Darlington;Peter Gibson;3;Teesside;70099;22535;17982;2197;1696;1175;0;0;306
Dartford;Gareth Johnson;12;Kent West;71324;28581;13823;3285;0;1180;0;0;0
Daventry;Chris Heaton-Harris;8;Northamptonshire;76041;35999;10734;6787;0;2414;0;0;5
Derby North;Amanda Solloway;8;Derbyshire South;73198;21259;18718;3450;1908;1046;0;0;636
Derby South;Margaret Beckett;8;Derbyshire South;73061;15671;21689;2623;2479;0;0;0;0
Derbyshire Dales;Sarah Dines;8;Derbyshire North;71145;31795;12963;6825;0;2211;0;0;0
Derbyshire Mid;Pauline Latham;8;Derbyshire South;70483;30698;13985;5028;0;1985;0;0;0
Derbyshire North East;Lee Rowley;8;Derbyshire North;72212;28841;15961;3019;13;1273;0;0;1
Derbyshire South;Heather Wheeler;8;Derbyshire South;70152;29360;12817;3452;0;1579;0;0;0
Devon Central;Mel Stride;10;Devon Central and East;73137;31303;14073;8513;0;2792;0;0;1
Devon North;Selaine Saxby;10;Somerset West and Barnstaple;75860;31481;5096;16667;0;1760;0;0;581
Devon South;Anthony Mangnall;10;Devon South;72090;28862;9155;15172;0;77;0;0;539
Devon South West;Gary Streeter;10;Devon South;75337;34537;11894;6857;0;2149;0;0;33
Dewsbury and Batley;Unknown (changed seat);5;Wakefield and Dewsbury;69626;14675;26806;1355;1275;676;0;2630;141
Didcot and Wantage;David Johnston;12;Oxfordshire;73642;26796;8777;17449;0;200;0;0;1279
Doncaster Central;Rosie Winterton;5;Doncaster and Rotherham;75156;15928;16844;2021;6903;1157;0;0;1057
Doncaster East and the Isle of Axholme;Nick Fletcher;5;Doncaster and Rotherham;70027;23006;12271;1724;4463;987;0;0;647
Doncaster North;Ed Miliband;5;Doncaster and Rotherham;71752;13372;15591;1459;8236;17;0;0;1740
Dorking and Horley;Paul Beresford;12;Surrey East;70013;28448;5140;16111;0;2108;0;59;673
Dorset Mid and North Poole;Michael Tomlinson;10;Dorset;74424;33365;4240;15976;0;1562;0;0;6
Dorset North;Simon Hoare;10;Dorset;72596;33632;6502;10826;0;2120;0;0;0
Dorset South;Richard Drax;10;Dorset;77420;31682;13129;6136;0;2386;0;0;479
Dorset West;Chris Loder;10;Dorset;76136;30953;5255;18441;0;1972;0;0;1
Dover and Deal;Natalie Elphicke;12;Kent East;76985;29121;16645;2907;0;1389;0;0;1053
Droitwich and Evesham;Nigel Huddleston;7;Worcestershire;73836;34948;9041;6271;0;2104;0;0;610
Dudley;Marco Longhi;7;Black Country;71755;26829;13594;1359;0;814;0;0;0
Dulwich and West Norwood;Helen Hayes;11;Lambeth and Wandsworth;74932;8282;33661;551;557;8289;0;0;264
Dunstable and Leighton Buzzard;Andrew Selous;9;Bedfordshire;74095;29324;13019;5252;6;1807;0;5;1
Durham North;Kevan Jones;3;County Durham;72859;15672;20114;3170;4955;1214;0;0;1075
Durham, City of;Mary Foy;3;County Durham;72653;16277;20224;7921;3246;1674;0;0;177
Ealing Central and Acton;Rupa Huq;11;West London;76249;14362;29242;9041;706;1673;0;0;0
Ealing North;James Murray;11;Southall;73069;15525;27408;4321;0;1439;0;0;0
Ealing Southall;Virendra Sharma;11;Southall;75523;11616;30009;5067;962;1967;0;0;455
Earley and Woodley;Unknown (new seat);12;Berkshire;70472;23563;14802;11085;308;1325;0;0;110
