Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Scotland;Dundee Central;Scotland;Scotland;Tayside;75298;500;3800;300;800;0;4200;0;200
Scotland;Dunfermline and Dollar;Scotland;Scotland;Fife;70725;1000;4600;600;500;300;2800;0;100
England;Dunstable and Leighton Buzzard;Eastern;East of England;Bedfordshire;74069;3000;3700;1000;1500;700;0;0;000
Wales;Dwyfor Meirionnydd;Wales;Wales;Gwynedd;72533;1200;2400;400;900;400;4400;0;100
England;Ealing Central and Acton;London;London;Ealing;75399;1300;5900;800;700;1000;0;0;200
England;Ealing North;London;London;Ealing;72985;1900;6000;500;600;600;0;0;200
England;Ealing Southall;London;London;Ealing;75085;1500;6700;400;500;700;0;0;300
England;Earley and Woodley;South East;South East;Berkshire;70083;3700;4200;1200;0;600;0;0;100
England;Easington;North East;North East;Durham;70043;1300;5700;500;2000;400;0;0;000
England;East Grinstead and Uckfield;South East;South East;West Sussex;72356;4500;3000;1500;0;900;0;0;000
England;East Ham;London;London;Newham;70902;1000;7200;300;400;700;0;0;300
England;East Hampshire;South East;South East;Hampshire;69959;3500;2300;2000;1300;800;0;0;000
Scotland;East Kilbride and Strathaven;Scotland;Scotland;Ayrshire and Lanark;75161;1100;4500;300;400;400;3100;0;100
Scotland;East Renfrewshire;Scotland;Scotland;Glasgow area;72959;2100;3600;600;400;200;3000;0;100
England;East Surrey;South East;South East;Surrey;73145;3800;2500;1500;1500;500;0;0;000
England;East Thanet;South East;South East;Kent;73790;2500;4600;300;1900;600;0;0;000
England;East Wiltshire;South West;South West;Wiltshire;71109;3600;3200;1200;1400;400;0;0;000
England;East Worthing and Shoreham;South East;South East;West Sussex;75466;2700;4800;500;1200;600;0;0;000
England;Eastbourne;South East;South East;East Sussex;73322;2900;2300;3300;1100;300;0;0;000
England;Eastleigh;South East;South East;Hampshire;69982;3000;2000;3600;900;400;0;0;000
Scotland;Edinburgh East and Musselburgh;Scotland;Scotland;Edinburgh area;75705;600;4000;300;300;800;3600;0;200
Scotland;Edinburgh North and Leith;Scotland;Scotland;Edinburgh area;76770;700;4300;700;200;700;3100;0;300
Scotland;Edinburgh South;Scotland;Scotland;Edinburgh area;73315;900;5100;600;100;1000;1900;0;200
Scotland;Edinburgh South West;Scotland;Scotland;Edinburgh area;70980;1100;4100;500;400;400;3200;0;200
Scotland;Edinburgh West;Scotland;Scotland;Edinburgh area;76723;1300;1900;3800;100;600;2100;0;200
England;Edmonton and Winchmore Hill;London;London;Enfield;75204;1800;6200;400;700;600;0;0;200
England;Ellesmere Port and Bromborough;North West;North West;Cheshire;71027;1300;6600;400;1000;500;0;0;100
England;Eltham and Chislehurst;London;London;Greenwich;74179;2600;5000;400;1300;500;0;0;100
England;Ely and East Cambridgeshire;Eastern;East of England;Cambridgeshire;76279;3400;2800;1900;1200;500;0;0;000
