Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Newbury;Berkshire;71900;12;2779;585;2851;2259;994;0;0;533;LIB
Newcastle upon Tyne Central and West;Tyne and Wear North;77461;3;954;2387;559;2589;2269;0;0;1242;Reform
Newcastle upon Tyne East and Wallsend;Tyne and Wear North;76309;3;836;2552;636;2677;2535;0;331;434;Reform
Newcastle upon Tyne North;Tyne and Wear North;75966;3;1328;2709;1052;1766;2534;0;0;611;LAB
Newcastle-under-Lyme;Staffordshire North;67841;7;1969;1928;885;3123;1409;0;0;686;Reform
Newton Abbot;Devon Central and East;73886;10;2010;862;2631;2757;1078;0;0;662;Reform
Newton Aycliffe and Spennymoor;County Durham;72559;3;1564;2502;683;3211;1470;0;274;294;Reform
Norfolk Mid;Norfolk South;75238;9;2514;1567;841;3414;936;0;0;728;Reform
Norfolk North;Norfolk North;71433;9;2529;543;2881;2877;645;0;0;525;LIB
Norfolk North West;Norfolk North;74414;9;2424;1149;1154;3902;799;0;0;573;Reform
Norfolk South;Norfolk South;74134;9;2234;1863;1444;2263;1605;0;0;592;Reform
Norfolk South West;Norfolk South;74725;9;1988;1466;768;3020;1004;0;1608;147;Reform
Normanton and Hemsworth;Wakefield and Dewsbury;75551;5;1063;2327;467;3957;1387;0;0;799;Reform
Northampton North;Northamptonshire;76187;8;1695;2491;685;2421;1952;0;447;309;LAB
Northampton South;Northamptonshire;69755;8;2032;2136;1023;2633;1775;0;0;401;Reform
Northamptonshire South;Northamptonshire;78606;8;2674;1774;1056;2770;1153;0;70;503;Reform
Northumberland North;Northumberland;74265;3;1940;2511;1151;2170;1294;0;0;935;LAB
Norwich North;Norfolk North;73723;9;1649;2392;682;2430;1909;0;0;938;Reform
Norwich South;Norfolk South;76381;9;868;2234;656;1972;3433;0;0;836;Green
Nottingham East;Nottinghamshire South;69395;8;864;2734;450;1569;3513;0;644;226;Green
Nottingham North and Kimberley;Nottinghamshire South;73767;8;1425;2369;450;2913;2101;0;0;743;Reform
Nottingham South;Nottinghamshire South;64255;8;1251;2407;566;2317;2610;0;606;243;Green
Nuneaton;Warwickshire;71718;7;1981;1692;706;3331;1502;0;787;0;Reform
Old Bexley and Sidcup;Bexley and Bromley;72291;11;2919;1646;717;2888;1017;0;0;813;CON
Oldham East and Saddleworth;Manchester North East;72796;4;1474;1948;822;2587;1739;0;1018;412;Reform
Oldham West, Chadderton and Royton;Manchester North East;73136;4;1024;1941;441;2581;2073;0;0;1941;Reform
Orpington;Bexley and Bromley;71047;11;2957;1592;1083;2573;1005;0;0;791;CON
Ossett and Denby Dale;Wakefield and Dewsbury;72329;5;1966;2198;768;2987;1520;0;0;561;Reform
Oxford East;Oxfordshire;71845;12;965;2478;716;1271;3268;0;473;828;Green
Oxford West and Abingdon;Oxfordshire;71319;12;1527;1049;3209;1500;1981;0;0;734;LIB
Peckham;South East London;72124;11;663;3014;465;1279;3913;0;0;665;Green
Pendle and Clitheroe;Lancashire East;78796;4;2795;1808;628;2692;1186;0;80;812;CON
Penistone and Stocksbridge;Barnsley and Sheffield West;70537;5;2079;2261;864;2746;1461;0;0;589;Reform
Penrith and Solway;Cumbria;77794;4;2092;2150;1161;2771;1387;0;0;440;Reform
