Country;Constituency;Area;County;Electorate;CON;LAB;LIB;Green;NAT;MIN;UKIP;OTH
England;Sittingbourne and Sheppey;South East;Kent;76818;2800;2700;600;800;000;000;2300;800
England;Skipton and Ripon;Yorkshire and The Humber;North Yorkshire;76758;2600;2600;1500;900;000;000;1800;600
England;Sleaford and North Hykeham;East Midlands;Lincolnshire;73380;3000;2600;700;700;000;000;2100;900
England;Slough;South East;Berkshire;75287;1700;5800;800;1100;000;000;600;000
England;Smethwick;West Midlands;Black Country;71195;1400;6100;600;500;000;000;1200;200
England;Solihull West and Shirley;West Midlands;Coventry and Solihull;70537;2700;2600;1400;1100;000;000;1800;400
England;South Basildon and East Thurrock;East of England;Essex;73322;2600;2800;400;700;000;000;2500;1000
England;South Cambridgeshire;East of England;Cambridgeshire;75484;2500;1700;4600;400;000;000;700;000
England;South Cotswolds;South West;Gloucestershire;72865;2900;1400;3200;600;000;000;1600;400
England;South Derbyshire;East Midlands;Derbyshire;71202;2800;3400;600;800;000;000;2000;400
England;South Devon;South West;Devon;71691;2500;1700;3200;600;000;000;1500;400
England;South Dorset;South West;Dorset;76640;2600;3100;900;1000;000;000;1900;500
England;South East Cornwall;South West;Cornwall;71734;2700;2700;1500;700;000;000;1900;600
England;South Holland and the Deepings;East Midlands;Lincolnshire;76139;3300;2100;600;900;000;000;2600;600
England;South Leicestershire;East Midlands;Leicestershire;75634;3100;2900;900;900;000;000;2300;000
England;South Norfolk;East of England;Norfolk;69837;2500;3000;1500;800;000;000;1800;400
England;South Northamptonshire;East Midlands;Northamptonshire;76555;2800;2800;1000;900;000;000;2000;500
England;South Ribble;North West;Lancashire;72029;2500;4300;700;700;000;000;1800;000
England;South Shields;North East;Newcastle area;69725;1200;4800;500;800;000;000;1600;1100
England;South Shropshire;West Midlands;Shropshire;77034;3300;1900;2300;700;000;000;1900;000
England;South Suffolk;East of England;Suffolk;71070;2800;2700;1200;1200;000;000;2100;000
England;South West Devon;South West;Devon;75371;2800;2800;1100;900;000;000;2000;400
England;South West Hertfordshire;East of England;Hertfordshire;71552;3100;2900;2300;600;000;000;1000;200
England;South West Norfolk;East of England;Norfolk;72496;2900;2500;800;800;000;000;2400;600
England;South West Wiltshire;South West;Wiltshire;71551;2600;2800;1500;800;000;000;1900;400
England;Southampton Itchen;South East;Hampshire;72150;2700;4800;500;400;000;000;1200;400
England;Southampton Test;South East;Hampshire;69960;2000;4900;1000;1400;000;000;700;000
England;Southend East and Rochford;East of England;Essex;70094;3100;3800;500;400;000;000;1600;600
England;Southend West and Leigh;East of England;Essex;76824;3200;3800;700;400;000;000;1500;500
England;Southgate and Wood Green;London;Enfield;76034;1300;6200;900;600;000;000;800;200
England;Southport;North West;Merseyside;74168;2200;4100;1300;400;000;000;1700;300
England;Spelthorne;South East;Surrey;72897;2500;2700;1300;900;000;000;2200;400
England;Spen Valley;Yorkshire and The Humber;West Yorkshire;72169;2000;3700;600;600;000;000;1500;1700
England;St Albans;East of England;Hertfordshire;70881;2000;1000;5100;600;000;000;1100;300
England;St Austell and Newquay;South West;Cornwall;74585;3100;3600;800;500;000;000;1400;700
England;St Helens North;North West;Merseyside;76082;1300;5900;700;800;000;000;1100;200
England;St Helens South and Whiston;North West;Merseyside;70302;1000;6300;800;800;000;000;900;100
England;St Ives;South West;Cornwall;70107;2400;1100;4100;500;000;000;1400;400
England;St Neots and Mid Cambridgeshire;East of England;Cambridgeshire;74699;3000;2100;3400;500;000;000;900;100
England;Stafford;West Midlands;Staffordshire;70537;2600;3700;600;900;000;000;1800;400
England;Staffordshire Moorlands;West Midlands;Staffordshire;70113;2900;3500;600;900;000;000;2100;000
England;Stalybridge and Hyde;North West;Eastern Manchester;73028;2300;5300;400;400;000;000;1200;400
England;Stevenage;East of England;Hertfordshire;70370;2900;4400;500;500;000;000;1300;300
England;Stockport;North West;Eastern Manchester;74769;1300;6000;800;600;000;000;1100;200
England;Stockton North;North East;Teesside;69779;2300;5800;400;200;000;000;1200;000
England;Stockton West;North East;Teesside;70108;2600;4100;600;500;000;000;1800;400
England;Stoke-on-Trent Central;West Midlands;Staffordshire;70550;3100;5100;300;200;000;000;1200;000
England;Stoke-on-Trent North;West Midlands;Staffordshire;69821;3600;4500;300;200;000;000;1400;100
England;Stoke-on-Trent South;West Midlands;Staffordshire;69831;4100;4200;300;200;000;000;1200;000
England;Stone, Great Wyrley and Penkridge;West Midlands;Staffordshire;70701;3800;3700;800;1100;000;000;000;600
England;Stourbridge;West Midlands;Black Country;69840;2700;3500;600;700;000;000;2000;500
England;Stratford and Bow;London;Newham;73849;700;7200;800;700;000;000;500;100
England;Stratford-on-Avon;West Midlands;Warwickshire;72388;3000;1400;2900;700;000;000;1600;400
England;Streatham and Croydon North;London;Lambeth;76050;900;6100;1600;700;000;000;600;100
England;Stretford and Urmston;North West;Central Manchester;73212;1300;6400;700;500;000;000;900;200
England;Stroud;South West;Gloucestershire;76249;2500;5000;300;800;000;000;1000;400
England;Suffolk Coastal;East of England;Suffolk;72683;2700;3000;1400;900;000;000;2000;000
England;Sunderland Central;North East;Newcastle area;72688;2300;5500;500;400;000;000;1300;000
England;Surrey Heath;South East;Surrey;70825;3400;1500;3400;500;000;000;1000;100
England;Sussex Weald;South East;East Sussex;70075;2800;2200;1500;1100;000;000;2000;400
England;Sutton and Cheam;London;Sutton;71284;2500;1600;3700;600;000;000;1400;300
England;Sutton Coldfield;West Midlands;Birmingham;74584;2700;3100;1100;800;000;000;1900;400
England;Swindon North;South West;Wiltshire;72163;3200;4000;500;500;000;000;1500;400
England;Swindon South;South West;Wiltshire;72468;2800;4800;400;400;000;000;1300;300
England;Tamworth;West Midlands;Staffordshire;73644;3300;3700;400;400;000;000;1500;600
England;Tatton;North West;Cheshire;75538;2700;3100;1500;900;000;000;1800;000
England;Taunton and Wellington;South West;Somerset;76049;3100;1300;4100;300;000;000;900;300
England;Telford;West Midlands;Shropshire;70768;2700;4100;600;500;000;000;2000;000
England;Tewkesbury;South West;Gloucestershire;72426;2900;1700;2800;700;000;000;1600;400
England;The Wrekin;West Midlands;Shropshire;76143;2900;3100;700;800;000;000;2100;400
England;Thirsk and Malton;Yorkshire and The Humber;North Yorkshire;76623;2800;2500;1100;900;000;000;2000;700
England;Thornbury and Yate;South West;Bristol area;74985;3400;1500;3800;400;000;000;900;000
England;Thurrock;East of England;Essex;73347;3000;3700;300;400;000;000;2100;500
England;Tipton and Wednesbury;West Midlands;Black Country;73820;3400;4800;200;300;000;000;1300;000
England;Tiverton and Minehead;South West;Somerset;70829;3100;1700;2700;700;000;000;1900;000
England;Tonbridge;South East;Kent;73692;2900;2300;1100;1300;000;000;2100;400
England;Tooting;London;Wandsworth;76986;1300;5700;1300;600;000;000;800;200
England;Torbay;South West;Devon;75742;2800;1500;2900;600;000;000;1600;500
England;Torridge and Tavistock;South West;Devon;74802;2600;2400;1500;1000;000;000;2000;500
England;Tottenham;London;Haringey;75968;500;7900;600;600;000;000;300;100
England;Truro and Falmouth;South West;Cornwall;73326;2600;4600;800;500;000;000;1100;400
England;Tunbridge Wells;South East;Kent;75213;3200;1900;3500;400;000;000;900;100
England;Twickenham;London;Richmond upon Thames;75889;1700;1000;5700;500;000;000;900;200
England;Tynemouth;North East;Newcastle area;73022;2300;5600;400;400;000;000;1000;300
England;Uxbridge and South Ruislip;London;Hillingdon;75042;2900;4500;400;500;000;000;1300;400
England;Vauxhall and Camberwell Green;London;Lambeth;69995;700;6300;1800;700;000;000;400;100
England;Wakefield and Rothwell;Yorkshire and The Humber;West Yorkshire;73968;3000;5000;500;200;000;000;1000;300
England;Wallasey;North West;Merseyside;73054;1200;6700;500;600;000;000;900;200
England;Walsall and Bloxwich;West Midlands;Black Country;74886;3200;5300;200;200;000;000;1000;100
England;Walthamstow;London;Waltham Forest;70867;500;7400;900;600;000;000;400;100
England;Warrington North;North West;Cheshire;72350;2400;5200;500;500;000;000;1200;300
England;Warrington South;North West;Cheshire;76639;2500;5300;600;400;000;000;1000;300
England;Warwick and Leamington;West Midlands;Warwickshire;75440;2300;5200;600;600;000;000;900;300
England;Washington and Gateshead South;North East;Newcastle area;71775;2100;5300;500;400;000;000;1200;400
