Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Kensington and Bayswater;Kensington and Chelsea;11;2746;2279;700;1471;1889;000;641;274;CON
Kettering;Northamptonshire;8;1698;1842;701;2777;2475;000;000;508;Reform
Kingston and Surbiton;Kingston upon Thames;11;1594;1007;3315;1385;1864;000;183;652;LIB
Kingswinford and South Staffordshire;Staffordshire;7;2918;1381;745;3310;767;000;000;879;Reform
Knowsley;Merseyside;4;585;3173;451;2879;2217;000;448;247;LAB
Lancashire West;Lancashire;4;1644;2791;678;2551;1756;000;000;579;LAB
Lancaster and Wyre;Lancashire;4;1508;2318;569;2146;2817;000;000;642;Green
Leeds Central and Headingley;West Yorkshire;5;609;2373;516;1333;4600;000;369;199;Green
Leeds East;West Yorkshire;5;1258;2388;456;2900;2147;000;000;851;Reform
Leeds North East;West Yorkshire;5;1301;3150;572;1249;2883;000;541;303;LAB
Leeds North West;West Yorkshire;5;1845;2964;1114;1621;1868;000;000;588;LAB
Leeds South;West Yorkshire;5;1014;2479;449;1880;3247;000;208;722;Green
Leeds South West and Morley;West Yorkshire;5;1771;2285;647;2887;1782;000;000;628;Reform
Leeds West and Pudsey;West Yorkshire;5;1285;2651;548;2340;2321;000;485;370;LAB
Leicester East;Leicestershire;8;3000;1445;960;942;1779;000;942;932;CON
Leicester South;Leicestershire;8;917;1952;399;1086;3551;000;000;2094;Green
Leicester West;Leicestershire;8;1629;2345;664;1977;2613;000;000;772;Green
Leicestershire Mid;Leicestershire;8;2815;1847;749;2752;1309;000;000;528;CON
Leicestershire North West;Leicestershire;8;2672;1881;494;3057;1187;000;000;708;Reform
Leicestershire South;Leicestershire;8;2784;1498;1320;2804;1073;000;000;522;Reform
Leigh and Atherton;Western Manchester;4;1213;2384;459;3758;1409;000;000;777;Reform
Lewes;East Sussex;12;1659;660;3673;2232;1310;000;000;466;LIB
Lewisham East;Lewisham;11;999;3054;496;1801;2909;000;397;344;LAB
Lewisham North;Lewisham;11;653;3009;507;1111;4140;000;257;322;Green
Lewisham West and East Dulwich;Lewisham;11;744;3332;575;1170;3626;000;324;230;Green
Leyton and Wanstead;Waltham Forest;11;1006;2619;553;1340;3189;000;349;945;Green
